,x,y,dyd,dyu
0,2007,0.4913623429600524,0.4106111749969371,0.5714300287327233
1,2008,0.437905714880498,0.4269374792190491,0.44959900065665753
2,2009,0.4422178081088885,0.4369643770431319,0.4473266826119006
3,2010,0.4383107431998808,0.43520827763262604,0.4414097940157323
4,2011,0.4326547719667598,0.4297447817426739,0.43543242617949834
5,2012,0.4318174690244962,0.4302554111502468,0.4333982219657102
6,2013,0.4356158768690836,0.43458892124509685,0.43664127191609914
7,2014,0.4126346827750339,0.41142254547270357,0.41385282810724594
8,2015,0.41164404512576097,0.409836190732338,0.41336563271888854
9,2016,0.3968759481423652,0.3950729871895751,0.39867720052101646
10,2017,0.3931174193912957,0.39197393487102683,0.3942667971486201
11,2018,0.3854887074402971,0.38483778670639485,0.38620188396914595
12,2019,0.3759997560261387,0.3750994247755575,0.37695524955855764
