,x,y,dyd,dyu,std
0,2007,0.3844835151483876,0.3505876389987236,0.4199995320041173,0.25746666780474375
1,2008,0.44589121889278277,0.43492840388909104,0.4555243525962385,0.2918882732345555
2,2009,0.44728752383553533,0.4414575926217524,0.45367164255441716,0.286395238472643
3,2010,0.4557348300198381,0.45225012068120796,0.4593202271473141,0.27543304585457207
4,2011,0.44839046436319085,0.44581491049656363,0.4511126962812303,0.2755694436900015
5,2012,0.43974049992307074,0.43807478412075807,0.44121604689350197,0.27372442209351505
6,2013,0.4420027227605917,0.44055758292131975,0.44338431991438976,0.28164800128853196
7,2014,0.44065777860269373,0.4391376021953535,0.44199276291416956,0.304645953744452
8,2015,0.4557580716857835,0.45467403986458615,0.45687770367801367,0.29465908679840946
9,2016,0.4429385687320824,0.4422611831557195,0.4436275839962263,0.2975414920947943
10,2017,0.4285258603735689,0.4280389958477431,0.42904095774748874,0.3052187171776884
11,2018,0.4128022585562648,0.4125805905644007,0.4130333672791098,0.30945588363449683
12,2019,0.4033015840492746,0.4029784940628077,0.40357911048461154,0.31002451030749706
